Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold,profit,Profit_Margin,Month,Year,Days_Took_To_Ship
Tuvalu,Baby Food,28-05-2010,669165933,High,Australia and Oceania,Offline,27-06-2010,1582243.5,2533654,9925,951410.5,37.55092448,May,2010,30 days
Grenada,Cereal,22-08-2012,963881480,CriticaLow,Central America and the Caribbean,Online,15-09-2012,328376.44,576782.8,2804,248406.36,43.06757414,August,2012,24 days
Russia,Office Supplies,05-02-2014,341417157,Low,Europe,Offline,05-08-2014,933903.84,1158502.59,1779,224598.75,19.3869873,February,2014,181 days
Sao Tome and Principe,Fruits,20-06-2014,514321792,CriticaLow,Sub-Saharan Africa,Online,07-05-2014,56065.84,75591.66,8102,19525.82,25.8306538,June,2014,-44 days
Rwanda,Office Supplies,02-01-2013,115456712,Low,Sub-Saharan Africa,Offline,02-06-2013,2657347.52,3296425.02,5062,639077.5,19.3869873,January,2013,151 days
Solomon Islands,Baby Food,02-04-2015,547995746,CriticaLow,Australia and Oceania,Online,21-02-2015,474115.08,759202.72,2974,285087.64,37.55092448,April,2015,-40 days
Angola,Household,23-04-2011,135425221,Medium,India,Offline,27-04-2011,2104134.98,2798046.49,4187,693911.51,24.79985635,April,2011,4 days
Burkina Faso,Not Available,17-07-2012,871543967,High,Sub-Saharan Africa,Online,27-07-2012,734896.26,1245112.92,8082,510216.66,40.97754122,July,2012,10 days
Republic of the Congo,Personal Care,14-07-2015,770463311,Medium,Sub-Saharan Africa,Offline,25-08-2015,343986.9,496101.1,6070,152114.2,30.66193564,July,2015,42 days
Senegal,Cereal,18-04-2014,616607081,High,India,Online,30-05-2014,772106.23,1356180.1,6593,584073.87,43.06757414,April,2014,42 days
Kyrgyzstan,Vegetables,24-06-2011,814711606,High,Asia,Online,07-12-2011,11275.32,19103.44,124,7828.12,40.97754122,June,2011,166 days
Cape Verde,Clothes,08-02-2014,939825713,High,Sub-Saharan Africa,Offline,19-08-2014,149381.12,455479.04,4168,306097.92,67.20351391,February,2014,192 days
Bangladesh,Clothes,13-01-2017,187310731,Low,Asia,Online,03-01-2017,296145.92,902980.64,8263,606834.72,67.20351391,January,2017,-10 days
Honduras,Household,02-08-2017,522840487,High,Central America and the Caribbean,Offline,13-02-2017,4509793.96,5997054.98,8974,1487261.02,24.79985635,August,2017,-170 days
